Name,ID,Quote,Description,Quality
A Pony,5.100.130,Flight + dash attack,"Passively grants flight and increases speed to 1.5. Upon use, Isaac charges in the direction the pony is facing, giving invulnerability during the charge and dealing damage to enemies hit.",2
Anarchist Cookbook,5.100.65,Summon bombs,Spawns six   Troll Bombs around the room.,1
Best Friend,5.100.136,Friends 'till the end,Spawns a decoy Isaac that explodes after 5 seconds. Enemies will always target the decoy and ignore Isaac.,1
Blank Card,5.100.286,Card mimic,Copies the effect of the card or rune currently held by Isaac. Copies the effect of the card currently held by Isaac. The charge time is based on the power of the card.,2
Blood Rights,5.100.186,Mass enemy damage at a cost,"Upon use, takes a full heart of health and deals 40 damage to all enemies in the room.  Repeated uses in the same room only take half a heart.",0
Bob's Rotten Head,5.100.42,Reusable ranged bomb,"Upon use, Isaac holds a poison  Bomb which can be thrown in the cardinal directions and explodes on impact.",1
Book of Revelations,5.100.78,Reusable soul protection,"Increases the chance of a  Devil Room /  Angel Room appearing while held. On use, gives one   Soul Heart, and replaces the boss of the current floor with a Harbinger if possible.",3
Book of Secrets,5.100.287,Tome of knowledge,"Gives the effect of  Treasure Map,  The Compass, or  Blue Map for the duration of the current floor.  If all effects are active,   X-Ray Vision is provided for the floor instead. Highlights any Tinted Rocks and rocks with  Crawl Space in the room.",1
Book of Shadows,5.100.58,Temporary invincibility,"Creates a protective shield, nullifying all types of damage in the current room for 10 seconds.",3
Box of Spiders,5.100.288,It's a box of spiders,Spawns 1-4 Blue Spiders that deal 2.5x damage to enemies. Spawns 4-8 Blue Spiders that deal 2x damage to enemies.,1
Breath of Life,5.100.326,Invincibility at a cost,"Grants a brief moment of invincibility when the charge bar hits zero. Isaac begins taking damage if the item is held any longer.  Isaac creates beams of light when touching enemies while invulnerable, and creates a powerful 4-way beam if blocking damage exactly as the invincibility starts.",1
Butter Bean,5.100.294,Reusable knock-back,"Upon use, Isaac farts and knocks back nearby enemies  and projectiles.  Enemies pushed into walls or obstacles take 12 damage.",1
Converter,5.100.296,Convert your soul,Converts two   Soul Hearts or   Black Hearts into one filled   Red Heart Container. Converts one   Soul Heart or   Black Heart into one filled   Red Heart Container.,2
Crack the Sky,5.100.160,Holy white death,"Summons 5 beams of light in random locations on the ground, dealing large amounts of damage to any enemies that touch them.",2
Crystal Ball,5.100.158,I see my future,"Upon use, reveals the map (except the  Super Secret Room) and drops a   Soul Heart or random card/rune.",3
D10,5.100.285,Reroll enemies,Re-rolls all monsters in the room. Replaces all monsters in the room with weaker monsters.,1
D100,5.100.283,REEROLLLLL!,"Combines the effects of  D4,  The D6, and  D20. Combines the effects of  D1,  D4,  The D6,  D7,  D8,  D10,  D12, and  D20.",3
D20,5.100.166,Reroll the basics,Rerolls all pickups in the current room.,2
D4,5.100.284,Reroll into something else,Rerolls all of Isaac's passive items.,2
Dad's Key,5.100.175,Opens all doors...,"Upon activation, opens all doors in the current room in almost all circumstances, including doors which require a   Key to open, entrances to  Secret Rooms, and the door to   Mega Satan.",2
Dead Sea Scrolls,5.100.124,It's a mystery,Triggers the effect of a random activated item from a list of possible options (not every activated item is included).,1
Deck of Cards,5.100.85,Reusable card generator,Gives Isaac a random card.,2
Doctor's Remote,5.100.47,Reusable air strike,"Creates a crosshair on the ground that can be aimed with tear controls. A missile strikes the spot after 2 seconds, creating a heavy damage explosion.",1
Flush!,5.100.291,...,Turns all non-boss monsters in the room into   Poop. Instantly kills poop-themed bosses.,1
Forget Me Now,5.100.127,I don't remember...,"On use, re-generates the current floor with a new layout. Isaac loses Forget Me Now, but keeps other items and consumables picked up on the original floor.",3
Guppy's Head,5.100.145,Reusable fly hive,Spawns 2-4 friendly Blue Flies that damage enemies.,2
Guppy's Paw,5.100.133,Soul converter,"Upon use, converts one Red Heart Container into three   Soul Hearts.",3
Head of Krampus,5.100.293,Krampus rage,"Fires a powerful  Brimstone beam in four cardinal directions, much like   Krampus shoots.
 Fires a powerful  Brimstone beam in four cardinal directions, much like   Krampus shoots with a 50% chance to rotate all beams around Isaac 90 degrees.",2
How to Jump,5.100.282,It's time you learned how,"Upon use, Isaac jumps in the direction he is currently moving, allowing travel over obstacles and enemies.",1
Isaac's Tears,5.100.323,Collected tears,"Fires 8 tears around Isaac, which retain the damage, range, shot speed, and special tear effects of his tears. Each tear shot by Isaac increases item charge by one.  Tears from this item have a +5 flat damage bonus.",1
IV Bag,5.100.135,Portable blood bank,"Upon use, Isaac loses half a heart of health (or a full heart in Chapter 4 onward) for a random amount of coins, similar to a  Blood Donation Machine.",1
Kamikaze!,5.100.40,Become the bomb!,"Creates an explosion around Isaac, damaging him and nearby enemies as well as destroying obstacles.",0
Lemon Mishap,5.100.56,Oops...,"Creates a tiny pool of yellow creep, damaging enemies that cross it.",0
Magic Fingers,5.100.295,Pay to win,Uses 1   Penny to deal damage to all enemies in the room.,1
Mom's Bottle of Pills,5.100.102,Reusable pill generator,"On use, gives Isaac a random pill.",1
Mom's Bra,5.100.39,Mass paralysis,Petrifies all enemies in the current room for 4 seconds.,1
Mom's Pad,5.100.41,Mass fear,Inflicts fear to all enemies in the room for 4 seconds.  Spawns a blue fly.,0
Monster Manual,5.100.123,Temporary buddy generator,Spawns a familiar from a specific selection for the current room. Spawns a familiar from a specific selection for the current floor.,1
Monstro's Tooth,5.100.86,Summon Monstro,"A friendly   Monstro jumps on a random enemy, dealing 120 area damage. Targets Isaac if used in a room without enemies.",1
Mr. Boom,5.100.37,Reusable bomb buddy,Places a  Mr. Mega  Bomb that deals 110 damage. Places a  Mr. Mega  Bomb that deals 185 damage.,1
My Little Unicorn,5.100.77,Temporary badass,"Gives invulnerability and +0.28 speed for six seconds, removing the ability to shoot tears and replacing it with the ability to deal contact damage to enemies.",1
Notched Axe,5.100.147,Rocks don't stand a chance,"Isaac destroys obstacles and opens  Secret Rooms by walking into them, but cannot shoot or pick up items until it's cancelled. Toggles between tears and the pickaxe, which can be swung to attack and break obstacles. Using it depletes the charge, and it can't be used until next floor once the charge runs out.",1
Pandora's Box,5.100.297,? ?,"Upon use, spawns specific pickups or items depending on the floor it is used on. Disappears after use.",2
Portable Slot,5.100.177,Gamble 24/7,"Upon use, consumes 1   Penny and has a chance to drop a random pickup, like a  Slot Machine.",0
Prayer Card,5.100.146,Reusable eternity,Gives an   Eternal Heart per use.,3
Razor Blade,5.100.126,Feel my pain,Takes one   Heart of health and grants +1.2 damage for the current room.  Repeated uses in the same room only take half a heart.,0
Red Candle,5.100.289,Flame on,"Throws out a flame that damages everything in its path, diminishing in size as it hits enemies or blocks shots.",2
Remote Detonator,5.100.137,Remote bomb detonation,Bombs placed by Isaac only explode when Remote Detonator is used. Gives 5 bombs.,1
Satanic Bible,5.100.292,Reusable evil... but at what cost?,Gives one   Black Heart.  Replaces the boss room item on the current floor with a Devil Deal.,4
Scissors,5.100.325,Lose your head,Turns Isaac's head into a stationary familiar for the current room which fires tears automatically.  Isaac's body also shoots a controllable fountain of blood shots for the room.,1
Shoop Da Whoop!,5.100.49,BLLLARRRRGGG!,Fires a laser from Isaac's mouth.,2
Spider Butt,5.100.171,Mass enemy slowdown + damage,Deals 10 damage to all enemies in the room and slows them for 4 seconds.  Enemies killed by Spider Butt spawn Blue Spiders.,1
Tammy's Head,5.100.38,Reusable tear burst,"Shoots 10 tears in a circle around Isaac, which retain the damage, range, shot speed, and special effects (such as poison) of Isaac's tears. Tears from this item have a +25 flat damage bonus.",2
Telepathy for Dummies,5.100.192,Temporary psychic shot,Gives homing tears for the current room.  Also gives +3 range.,1
Teleport!,5.100.44,Teleport!,Teleports Isaac to a random room on the current floor.,0
The Bean,5.100.111,Toot on command,"Isaac farts, poisoning any enemy in close range.",0
The Bible,5.100.33,Temporary flight,"On use, Isaac gains flight for the current room. Instantly kills  Mom,  Mom's Heart, and  It Lives when activated, but kills Isaac when used on  Satan.",1
The Book of Belial,5.100.34,Temporary DMG up,+2 damage for the current room. Passively guarantees a  Devil Room or  Angel Room will appear while held. +2 damage for the current room. Passively increases the chance of finding a  Devil Room or  Angel Room while held.,2
The Book of Sin,5.100.97,Reusable item generator,"Generates a random pickup, pill, card, or rune.",2
The Boomerang,5.100.338,It will never leave you,"Throws a boomerang which retrieves pickups, as well as damages and petrifies enemies hit for 2 seconds.",1
The Candle,5.100.164,Reusable flames,"Throws out a flame that damages everything in its path, diminishing in size as it travels.",2
The D6,5.100.105,Reroll your destiny,"Re-rolls all items in the current room into other items, depending on the current room's Item Pool.",4
The Gamekid,5.100.93,Temporary Man-Pac,"Turns Isaac into a Pac-Man-like creature for 6.5 seconds, granting invulnerability, inflicting fear on all enemies, and has a chance of replenishing a   Half Red Heart every time an enemy is killed.",1
The Hourglass,5.100.66,Temporary enemy slowdown,All enemies in the room are slowed for 8 seconds.,1
The Jar,5.100.290,Save your life,"When at full health, up to 4 extra   Red Hearts can be stored in The Jar. Activating drops the stored hearts on the ground.",0
The Nail,5.100.83,Temporary demon form,"Gives one   Soul Heart. For the current room; +0.7 damage, -0.18 speed, Isaac breaks rocks and deals contact damage. Gives half a   Black Heart. For the current room; +2 damage, -0.18 speed, Isaac breaks rocks and deals contact damage.",2
The Necronomicon,5.100.35,Mass room damage,Deals 40 damage to every enemy in the room.,1
The Pinking Shears,5.100.107,Cut and run,"Separates Isaac's head from his body for the current room, granting flight and turning the body into a familiar that chases enemies.",2
The Poop,5.100.36,Plop!,Spawns a pile of   Poop where Isaac is standing and knocks back nearby enemies. May yield pickups like regular poop.,0
Undefined,5.100.324,Undefined,"Teleports Isaac to the  Secret Room,  Super Secret Room,  Treasure Room, or  I AM ERROR.",2
Unicorn Stump,5.100.298,You feel stumped,"Gives invulnerability and increased speed for six seconds, but removes the ability to shoot tears.",1
We Need to Go Deeper!,5.100.84,Reusable level skip,"Creates a trapdoor to go to the next floor.  Once per floor, using it on tiles with special graphics will instead create a  Crawl Space.",2
White Pony,5.100.181,Flight + holy death,"Passively grants flight and increases speed to 1.5. Upon use, Isaac charges in the direction the pony is facing, giving invulnerability during the charge while also creating damaging beams of light.",2
Yum Heart,5.100.45,Reusable regeneration,Restores one full   Red Heart.,1
Box of Friends,5.100.357,Double your friends,"Duplicates all of Isaac's familiars for the current room. If Isaac has no familiars, spawns a  Demon Baby for the room instead.",1
D12,5.100.386,Rerolls rocks,Re-rolls all Rocks and Metal Blocks in the current room into other random obstacles. Re-rolls most types of Obstacles in the current room into other random obstacles.,1
D7,5.100.437,Roll again,"Restarts the current room and brings back all enemies, allowing more rewards to be acquired by completing the room.",1
D8,5.100.406,Reroll stats,"Re-rolls Isaac's damage, tears, range, and speed.",2
Diplopia,5.100.347,Double item vision,Duplicates all pickups and item pedestals in the room.,3
Friendly Ball,5.100.382,Gotta fetch 'em all!,"Throwing the ball at a monster instantly kills and captures it. The captured enemy can later be released and will be friendly, fighting for Isaac and persisting between rooms.",1
Glass Cannon,5.100.352,Be gentle...,"Fires a high-damage piercing spectral tear, but lowers Isaac's health to half a heart. Fires a high-damage piercing spectral tear. If Isaac takes damage while holding this, he takes extra damage and it becomes  Broken Glass Cannon.",1
Glowing Hourglass,5.100.422,Turn back time,"Rewinds time, putting Isaac back in the previous room and undoing anything that happened in the current room.  Can only be used three times per floor, after which it functions like The Hourglass until the next floor.",3
Jar of Flies,5.100.434,Bug catcher,"Killing an enemy adds a fly to the jar, up to a maximum of 20. On use, releases Blue Flies equal to the number of flies in the jar.",2
Kidney Bean,5.100.421,Love toots!,"Isaac farts, charming all nearby enemies.",1
Mega Bean,5.100.351,Giga fart!,"Petrifies all enemies in the current room for about 1.5 seconds, poisons any enemies near Isaac, and sends a rock wave across the room in the direction Isaac is facing.",1
