Name,ID,Weight,Description,Quote,Quality
The Bible,5.100.33,1,"On use, Isaac gains flight for the current room. Instantly kills  Mom,  Mom's Heart, and  It Lives when activated, but kills Isaac when used on  Satan.",Temporary flight,1
Breath of Life,5.100.326,1,"Grants a brief moment of invincibility when the charge bar hits zero. Isaac begins taking damage if the item is held any longer.  Isaac creates beams of light when touching enemies while invulnerable, and creates a powerful 4-way beam if blocking damage exactly as the invincibility starts.",Invincibility at a cost,1
Dead Sea Scrolls,5.100.124,1,Triggers the effect of a random activated item from a list of possible options (not every activated item is included).,It's a mystery,1
Prayer Card,5.100.146,1,Gives an   Eternal Heart per use.,Reusable eternity,3
Eden's Soul,5.100.490,1,Spawns two item pedestals then is consumed. Begins with no charges.,...,3
Void,5.100.477,0.5,"Consumes all pedestal items in the room. Active items will have their effects added to Void, and passive items will grant random stat upgrades.",Consume,4
Delirious,5.100.510,0.4,Spawns   Delirium as a random friendly boss that fights for Isaac.,Unleash the power!,1
Book of Revelations,5.100.78,1,"Increases the chance of a  Devil Room /  Angel Room appearing while held. On use, gives one   Soul Heart, and replaces the boss of the current floor with a Harbinger if possible.",Reusable soul protection,3
Genesis,5.100.622,1,"Removes all of Isaac's items and pickups and takes him to a unique Bedroom with some pickups and  Chests and a trapdoor to the next floor. For every item Isaac lost, he gets to take an item from a set of three.",In the beginning,3
Jar of Wisps,5.100.685,1,"Spawns random wisps that shoot various tears, block shots, and deal contact damage. The number of wisps spawned increases every time the jar is used.",Your faith grows,2
Urn of Souls,5.100.640,1,"Spews a stream of damaging flame. Gains Soul Charges each time an enemy dies, which are used to fuel the urn.",Unleash their sorrow,3
Vade Retro,5.100.653,1,"While held, enemies leave behind ghosts on death. Using the item causes the ghosts to explode, dealing damage to nearby enemies. Stronger enemies leave bigger ghosts. Ghost enemies and bosses are also destroyed if this is used while they have less than half HP.",Begone!,2
The Body,5.100.334,1,Adds 3 Red Heart Containers.,I feel all,3
Celtic Cross,5.100.162,1,"Grants a chance to trigger the  Book of Shadows effect upon taking damage, creating a shield that nullifies all types of damage for 7 seconds.",Blessing of protection,1
Dead Dove,5.100.185,1,Grants spectral tears and flight.,Flight + spectral tears,3
Godhead,5.100.331,1,"Grants homing tears with a damaging halo. +0.5 Damage, -0.3 Tears -0.3 Shot Speed, +0.8 Tear Falling Speed, and +1.2 Range. Grants homing tears with a damaging halo. +0.5 Damage, -0.3 Tears, and -0.3 Shot Speed.",God tears,4
Guardian Angel,5.100.112,1,"Spawns an orbital familiar that blocks enemy shots, deals 105 damage per second to enemies, and increases the speed of all orbital familiars. Spawns an orbital familiar that blocks enemy shots, deals 53 damage per second to enemies, and increases the speed of all orbital familiars.",Extra protection,2
Habit,5.100.156,1,"When Isaac is hit, his active item gains 1 room's worth of charge.",Item martyr,2
The Halo,5.100.101,1,"Grants one full Red Heart container, +0.3 damage, +0.2 tears, +0.25 range, +0.3 speed, and +0.5 tear falling speed. Grants one full Red Heart container, +0.3 damage, +0.2 tears, +1.5 range, and +0.3 speed. Heals 1 additional   Red Heart.",All stats up,2
Holy Grail,5.100.184,1,Grants flight and one Red Heart container.  Heals 1 additional   Red Heart.,Flight + HP up,3
Holy Mantle,5.100.313,1,"Grants a shield that negates the first instance of damage taken, once per room. Does not apply to or negate self-damage ( Blood Donation Machines, etc).",Holy shield,4
Holy Water,5.100.178,1,"Spawns a bottle familiar that breaks when Isaac takes damage, leaving a puddle of blue creep. A bottle familiar that flies forward when Isaac shoots. It breaks upon hitting an enemy, leaving a puddle of blue creep that petrifies enemies.",Splash!,3
Lazarus' Rags,5.100.332,1,"Upon dying, resurrect as   Lazarus Risen in the current room with one Red Heart container and  Anemic. Upon dying, resurrect as   Lazarus Risen in the current room with one less Red Heart container (but no less than 1),  Anemic, and a permanent +0.5 Damage up. Going to the next floor reverts him back into   Lazarus, with his inherent extra life effect.",Eternal life?,1
The Mind,5.100.333,1,"Reveals the entire map, including all special rooms and  Secret Rooms.",I know all,3
Mitre,5.100.173,1,Grants a chance of converting any   Red Heart pickups into   Soul Hearts instead.,Blessing of purity,3
The Relic,5.100.98,1,Spawns a cross familiar that drops a   Soul Heart after clearing enough rooms.,Soul generator,3
Rosary,5.100.72,1,Grants 3   Soul Hearts. Causes  The Bible to appear in any item pool.  +0.5 tears.,Tears + faith up,2
Sacred Heart,5.100.182,1,"Adds a Red Heart Container. Grants homing tears, a x2.3 Damage multiplier, +1 flat Damage, -0.4 Tears, -0.25 Shot Speed, and +4.125 Range. Adds a Red Heart Container. Grants homing tears, a x2.3 Damage multiplier, +1 flat Damage, -0.4 Tears, and -0.25 Shot Speed.",Homing shots + DMG up,4
Scapular,5.100.142,1,"Once per room, when Isaac is reduced to his last half heart, he is granted one   Soul Heart.",Pray for a miracle,2
The Soul,5.100.335,1,Grants two   Soul Hearts. Isaac gains a pulsing aura that repels enemies and projectiles.,I am all,3
Trinity Shield,5.100.243,1,Isaac gains a shield that protects him from enemy shots. It aims in the direction Isaac fires from.,You feel guarded,2
