Name,ID,Weight,Price,Description,Quote,Quality
Abaddon,5.100.230,1,,"+1.5 damage, +0.2 speed. Removes all Red Heart containers, grants six  Black Hearts, and adds a chance to shoot fear tears. +1.5 damage, +0.2 speed. Grants two  Black Hearts, converts all Red Heart Containers into Black Hearts, and adds a chance to shoot fear tears.",Evil + DMG up + fear shot,3
Bloody Lust,5.100.157,1,,"Increases Isaac's damage whenever he takes damage, up to six times. The bonus resets when entering a new floor.",RAGE!,2
Brimstone,5.100.118,1,,Tears are replaced by a laser beam that pierces through all enemies and obstacles in its path and deals high damage. Can only be fired after a short charge-up period.,Blood laser barrage,4
Brother Bobby,5.100.8,1,,Spawns a familiar that follows Isaac around shooting tears that deal 3.5 damage.  He shoots more frequently than most familiars.,Friends 'till the end,1
Ceremonial Robes,5.100.216,1,,"Grants 3   Black Hearts, and +1 damage.",DMG + evil up,3
Contract From Below,5.100.241,1,,"Doubles the number of most room clear awards, but reduces the overall chance of getting one by 1/3.",Wealth... but at what cost?,3
Dark Bum,5.100.278,1,,"Spawns a familiar that follows Isaac around and collects   Red Hearts. For every 1? Red Hearts collected, Dark Bum will give a reward.",He wants to take your life,3
Dark Matter,5.100.259,1,,"+1 damage, adds a chance to shoot fear tears.",DMG up + fear shot,3
Dead Cat,5.100.81,1,,"Sets Isaac's Red Heart Containers to 1, but grants 9 extra lives. After dying, Isaac respawns with 1 Red Heart Container.",9 lives,3
Death's Touch,5.100.237,1,,"+1.5 damage, -0.3 tears. Tears are replaced with large piercing scythes.",Piercing shots + DMG up,3
Demon Baby,5.100.113,1,,Spawns a familiar that follows Isaac and automatically fires at enemies in its reach.,Auto-turret friend,2
Ghost Baby,5.100.163,1,,Spawns a familiar that follows Isaac around and fires spectral tears.,Spectral buddy,1
Gimpy,5.100.225,1,,Gives chance of spawning a   Soul Heart when taking damage. Enemies have a chance to drop a   Half Red Heart after being killed.,Sweet suffering,2
Goat Head,5.100.215,1,,"A  Devil Room /  Angel Room will always spawn after every boss fight, excluding the first floor and floors after Chapter 4.",He accepts your offering,3
Guppy's Collar,5.100.212,1,,Grants a permanent 50% chance to respawn with 1/2 of a   Red Heart after death.,Eternal life?,1
Guppy's Hair Ball,5.100.187,1,,"Spawns a familiar that loosely follows behind Isaac, which blocks shots can be swung like a flail to damage enemies. Grows bigger by killing enemies.",Swing it,1
Guppy's Tail,5.100.134,1,,Room Clear Awards have a 1/3 chance of being replaced with a   Chest and a 2/9 chance being replaced with nothing.,Cursed?,2
Headless Baby,5.100.269,1,,"Spawns a familiar that follows Isaac, leaving blood creep on the ground.",Bloody friend,1
