Name,ID,Weight,Description,Quote,Quality
Blank Card,5.100.286,1,Copies the effect of the card or rune currently held by Isaac. Copies the effect of the card currently held by Isaac. The charge time is based on the power of the card.,Card mimic,2
Book of Secrets,5.100.287,1,"Gives the effect of  Treasure Map,  The Compass, or  Blue Map for the duration of the current floor.  If all effects are active,   X-Ray Vision is provided for the floor instead. Highlights any Tinted Rocks and rocks with  Crawl Space in the room.",Tome of knowledge,1
Forget Me Now,5.100.127,1,"On use, re-generates the current floor with a new layout. Isaac loses Forget Me Now, but keeps other items and consumables picked up on the original floor.",I don't remember...,3
The Necronomicon,5.100.35,1,Deals 40 damage to every enemy in the room.,Mass room damage,1
We Need to Go Deeper!,5.100.84,1,"Creates a trapdoor to go to the next floor.  Once per floor, using it on tiles with special graphics will instead create a  Crawl Space.",Reusable level skip,2
Compost,5.100.480,1,"Doubles Isaac's Blue Flies and Blue Spiders, or spawns one if Isaac has none. Converts pickups in the current room into Blue Flies or Blue Spiders.",Gain more friends!,1
Clear Rune,5.100.263,1,Has the same effect as the rune or soul stone currently held by Isaac.,Rune mimic,2
Death Certificate,5.100.628,1,"Takes Isaac to an abandoned and expanded version of  Home, which has one copy of every item in the game. After taking an item, Isaac returns to the room he used Death Certificate in.",Where am I?,4
D Infinity,5.100.489,1,"Grants a random die item that changes each use. Acts as any dice item, and can by cycled by pressing the drop key.",Reroll forever,4
Esau Jr.,5.100.703,1,"Swaps between the current character and Esau Jr., who has +2 flat damage and flight. Characters have independent items and health. Dying as either character ends the run.",Lost brother,2
Eternal D6,5.100.609,1,Rerolls all items in the room. Each item has a 25% chance to disappear instead.,???,3
Flip,5.100.711,1,"Item pedestals have a second uninteractable ""ghostly"" item behind them. Activating will flip the real and ghostly items around. If playing as   Tainted Lazarus, also flips between them and   Dead Tainted Lazarus.",Twist of fate,4
Keeper's Box,5.100.719,1,Spawns a random shop item or pickup which can be bought for its normal price.,Portable shop,2
Mega Mush,5.100.625,1,"Gigantifies Isaac for 30 seconds, increasing damage and range while lowering tears, granting invulnerability, and allowing Isaac to crush enemies and obstacles he walks on. The effect persists between rooms.",I'm a big boy now!,4
Placebo,5.100.348,1,"When used, copies the effect of the pill Isaac is currently holding without consuming it. Does not copy the effects of cards or runes.",Pill mimic,2
Red Key,5.100.580,1,"Creates a  Red Room adjacent to a viable wall, indicated by the outline of a door. These rooms have a 10% chance to be a special room.",Explore the other side,3
R Key,5.100.636,1,"Brings Isaac back to the first floor of a new run, retaining all of his items.",Time to start over,4
Spindown Dice,5.100.723,1,Transforms all items in the room by decreasing their internal ID number.,-1,4
Wavy Cap,5.100.582,1,"Increases fire rate, decreases speed, and distorts the screen. All effects become more pronounced with repeated use, and wear off by clearing rooms.",Tears up. A mind changing experience!,1
1up!,5.100.11,1,"Gives Isaac an extra life. Upon death, he will respawn in the previous room with full health, after which 1up! will disappear.",Extra life,2
Black Lotus,5.100.226,1,"Grants one Red Heart Container, one   Soul Heart, and one   Black Heart.",HP up x3!,2
Cursed Eye,5.100.316,1,Grants charged tears that can be fired in a tight burst. Getting hit while charging will teleport Isaac to another room.,Cursed charge shot,0
Infamy,5.100.242,1,Gives Isaac a 50% chance to block projectiles coming from any direction.,Blocks damage... sometimes,2
Lost Contact,5.100.213,1,Isaac's tears can hit and destroy enemy projectiles. -0.15 shot speed.,Shielded tears,2
Missing No.,5.100.258,1,Randomizes all passive items and stats upon pickup and at the start of each succeeding floor.,Syntax error,0
Missing Page 2,5.100.262,1,"Grants one   Black Heart. Upon taking damage that reduces Isaac's health to one heart or less, deals damage to all enemies in the room.  Increases the damage of   Black Hearts and  The Necronomicon-like effects by 40.",Evil up. Your enemies will pay!,0
Mystery Sack,5.100.271,1,"Spawns a familiar that drops a Heart, coin,   Bomb, or   Key every 5-6 rooms.",?,2
Odd Mushroom,5.100.121,1,"Grants one empty Heart container, +0.3 damage, +0.25 range, +0.5 tear falling speed, and -0.1 speed.  Grants one full Heart container, +1 damage, +1.5 range, and -0.2 speed","HP + DMG up, speed down",2
Odd Mushroom,5.100.120,1,"+1.7 tears, +0.3 speed, slightly reduces damage.","Tears + speed up, DMG down",2
Pyro,5.100.190,1,Grants 99   Bombs.,99 bombs,3
Raw Liver,5.100.16,1,Grants 2 Red Heart containers and completely restores health.,HP up,2
Samson's Chains,5.100.321,1,"Attaches a ball and chain to Isaac that pulls behind him that damages enemies, blocks shots, and destroys most Obstacles.",The ol' ball and chain,1
Skeleton Key,5.100.17,1,Gives Isaac 99   Keys.,99 keys,3
Transcendence,5.100.20,1,Grants flight.,We all float down here...,3
A Quarter,5.100.74,1,Gives Isaac 25   coins.,+25 coins,0
Bomb Bag,5.100.131,1,Spawns a familiar that drops a   Bomb every 3 rooms.,Gives bombs,2
Mr. Mega,5.100.106,1,"+5   Bombs. Increases the size, blast radius, and damage of Isaac's bombs.",Bigger boom,2
Sack of Pennies,5.100.94,1,Spawns a familiar that drops a   coin every 2 rooms.,Gives money,1
GB Bug,5.100.405,1,"Spawns a familiar that bounces diagonally around the room, applying a random status effect to enemies it hits and has a chance to re-roll pickups it passes over. Spawns a familiar that follows Isaac. Double tapping the fire button launches it forward, causing it to reroll the first monster or pickup it hits.",Double tap glitch,1
Key Bum,5.100.388,1,"Spawns a familiar that follows Isaac and collects   Keys for himself, giving random   Chests in return.",He wants your keys!,0
Rune Bag,5.100.389,1,Spawns a familiar that drops a random rune after clearing enough rooms.,Rune generator,3
Dad's Ring,5.100.546,1,Creates a ring of light around Isaac that petrifies enemies in contact.,Father's blessing,3
