Name,ID,Weight,Price,Description,Quote,Quality
The Bible,5.100.33,1,15,"On use, Isaac gains flight for the current room. Instantly kills  Mom,  Mom's Heart, and  It Lives when activated, but kills Isaac when used on  Satan.",Temporary flight,1
The Boomerang,5.100.338,1,10,"Throws a boomerang which retrieves pickups, as well as damages and petrifies enemies hit for 2 seconds.",It will never leave you,1
The Candle,5.100.164,1,15,"Throws out a flame that damages everything in its path, diminishing in size as it travels.",Reusable flames,2
Converter,5.100.296,1,15,Converts two   Soul Hearts or   Black Hearts into one filled   Red Heart Container. Converts one   Soul Heart or   Black Heart into one filled   Red Heart Container.,Convert your soul,2
Deck of Cards,5.100.85,1,15,Gives Isaac a random card.,Reusable card generator,2
The Jar,5.100.290,1,10,"When at full health, up to 4 extra   Red Hearts can be stored in The Jar. Activating drops the stored hearts on the ground.",Save your life,0
Magic Fingers,5.100.295,1,10,Uses 1   Penny to deal damage to all enemies in the room.,Pay to win,1
Mom's Bottle of Pills,5.100.102,1,10,"On use, gives Isaac a random pill.",Reusable pill generator,1
Pandora's Box,5.100.297,1,15,"Upon use, spawns specific pickups or items depending on the floor it is used on. Disappears after use.",? ?,2
Portable Slot,5.100.177,1,10,"Upon use, consumes 1   Penny and has a chance to drop a random pickup, like a  Slot Machine.",Gamble 24/7,0
Red Candle,5.100.289,1,15,"Throws out a flame that damages everything in its path, diminishing in size as it hits enemies or blocks shots.",Flame on,2
Remote Detonator,5.100.137,1,15,Bombs placed by Isaac only explode when Remote Detonator is used. Gives 5 bombs.,Remote bomb detonation,1
Blank Card,5.100.286,0.5,15,Copies the effect of the card or rune currently held by Isaac. Copies the effect of the card currently held by Isaac. The charge time is based on the power of the card.,Card mimic,2
Box of Friends,5.100.357,1,10,"Duplicates all of Isaac's familiars for the current room. If Isaac has no familiars, spawns a  Demon Baby for the room instead.",Double your friends,1
Diplopia,5.100.347,1,15,Duplicates all pickups and item pedestals in the room.,Double item vision,3
Glowing Hourglass,5.100.422,1,15,"Rewinds time, putting Isaac back in the previous room and undoing anything that happened in the current room.  Can only be used three times per floor, after which it functions like The Hourglass until the next floor.",Turn back time,3
