Name,ID,Weight,Price,Description,Quote,Quality
9 Volt,5.100.116,1.0,15,Reduces the charge of any activated item by 1. Any 1 charge items instead have timed recharges.,Quicker charge,2
The Battery,5.100.63,1.0,15,"Activated collectibles can store an extra level of charge, allowing them to be used twice in one room.",Stores energy,2
BFFS!,5.100.247,1.0,15,Increases the size and effectiveness of most familiars.,Your friends rule!,2
Black Candle,5.100.260,1.0,15,Prevents curses. Grants one   Black Heart. Increases the chance for a  Devil Room or  Angel Room to appear.,Curse immunity + evil up,3
Blue Map,5.100.246,1.0,15,Reveals the locations of  Secret Rooms and  Super Secret Rooms on the map.,Secrets,2
Bogo Bombs,5.100.250,1.0,15,All normal   Bombs become   Double Bombs.,1+1 BOOM!,1
Broken Watch,5.100.337,1.0,15,Every 4th newly discovered room entered will slow down or speed up every enemy and their attacks. The chance to slow enemies is quite higher than the chance to speed them up.,I think it's broken,1
Champion Belt,5.100.208,1.0,15,+1 damage. Increases the chance of champion enemies appearing by 15%.,DMG + challenge up,3
The Compass,5.100.21,1.0,15,"Reveals the locations and types of all special rooms on the map, except  Secret Rooms and  Super Secret Rooms.",The end is near,2
Fanny Pack,5.100.204,1.0,15,Has a chance to drop a random pickup when Isaac takes damage.,Filled with goodies,1
Habit,5.100.156,1.0,15,"When Isaac is hit, his active item gains 1 room's worth of charge.",Item martyr,2
Hive Mind,5.100.248,1.0,15,Increases the size of Blue Spiders and Blue Flies and doubles the amount of damage they deal.  Also increases the effectiveness of fly and spider familiars.,Giant spiders and flies,2
Humbling Bundle,5.100.203,1.0,15,"Transforms   Bombs,   Keys,   Pennies, and   Red Hearts into their respective Double versions.  This will occur 50% of the time.",1+1 free 4Evar,3
The Ladder,5.100.60,1.0,15,Allows Isaac to walk across gaps one square across by automatically placing a ladder between the two walkable sections.,Building bridges,1
Little Baggy,5.100.252,1.0,15,Isaac can hold 2 pills at once and all cards and runes are replaced by pills.,Extra pill room,0
Mom's Coin Purse,5.100.195,1.0,15,Spawns 4 random pills near Isaac.,What's all this...?,1
