Name,ID,Weight,Description,Quote,Quality
20/20,5.100.245,1,"Isaac fires two tears at once, one from each eye.  0.8x damage multiplier.",Double shot,4
3 Dollar Bill,5.100.191,1,Gives Isaac a random tear effect every room. Gives Isaac a random tear effect every few seconds.,Rainbow tears,2
<3,5.100.15,1,Grants Isaac one Red Heart container and fully restores Isaac's health.,HP up,2
???'s Only Friend,5.100.320,1,Spawns a controllable familiar that deals 37.5 damage per second on touch. It can be moved using the shooting directional keys,Controlled friend,1
Abel,5.100.188,1,Spawns a familiar that mirrors Isaac's movements and shoots in the opposite direction. Spawns a familiar that mirrors Isaac's movements and shoots towards him.,Mirrored buddy,0
Anemic,5.100.214,1,"After Isaac is damaged, a trail of red creep will be left behind him until he leaves the current room.  +5 range.  +1.5 range.",Toxic blood,1
Ankh,5.100.161,1,"Upon death, Isaac will respawn as   ??? in the previous room, with 3   Soul Hearts.",Eternal life?,1
Anti-Gravity,5.100.222,1,"Tears float in position until firing ceases, after which they will fly off in the direction they were shot in.  -2 Tear Delay.  +1 Fire Rate.",Anti-gravity tears + tears up,2
Aquarius,5.100.308,1,"A trail of blue creep is left behind Isaac, which damages enemies.  The creep inherits most of Isaac's tear effects, like homing, etc.",Trail of tears,2
Aries,5.100.300,1,+0.25 Speed. Running into enemies while at a high speed will deal damage.  Prevents Isaac from taking contact damage while moving at high speed.,Ramming speed,2
BBF,5.100.272,1,Spawns a familiar that flies around the room in a zig-zag pattern and explodes on contact with an enemy. Respawns after ten seconds.,Big Beautiful Fly,1
Ball of Tar,5.100.231,1,"Adds a chance to shoot slowing tears. Isaac leaves a trail of slowing creep behind as he moves, impeding enemies' speed.",Sticky feet...,2
Best Bud,5.100.274,1,"When hit, spawns a quickly orbiting attack fly similar to  Forever Alone for the current room that deals high damage.",Sworn protector,0
Big Fan,5.100.279,1,Spawns a large orbital familiar that blocks enemy shots and deals 30 damage per second to enemies.,Fat protector,2
The Black Bean,5.100.180,1,"When taking damage, Isaac farts, poisoning enemies in range. When taking damage, Isaac farts five times, poisoning and knocking back nearby enemies and leaving lingering poison clouds.",Toot on touch,0
Blood of the Martyr,5.100.7,1,+1 damage. Isaac shoots blood tears.,DMG up,3
Bloody Lust,5.100.157,1,"Increases Isaac's damage whenever he takes damage, up to six times. The bonus resets when entering a new floor.",RAGE!,2
Bob's Brain,5.100.273,1,"Spawns a familiar that charges forward when shooting tears and explodes upon contact with an enemy, damaging and poisoning them. The familiar respawns after a few seconds.",Explosive thoughts,1
Bob's Curse,5.100.140,1,"+5   Bombs. Grants Isaac's bombs a poison effect.  They also leave a lingering poison cloud, and Isaac becomes immune to poison.",+5 poison bombs,1
Bobby-Bomb,5.100.125,1,"+5   Bombs. Bombs gain a homing effect, slowly moving towards the nearest enemy.",Homing bombs!,2
Bomb Bag,5.100.131,1,Spawns a familiar that drops a   Bomb every 3 rooms.,Gives bombs,2
Boom!,5.100.19,1,Grants 10   Bombs.,10 bombs,0
Brother Bobby,5.100.8,1,Spawns a familiar that follows Isaac around shooting tears that deal 3.5 damage.  He shoots more frequently than most familiars.,Friends 'till the end,1
Bucket of Lard,5.100.129,1,"Grants two empty Red Heart containers, heals Isaac for a   Half Red Heart, -0.2 speed. Grants two Red Heart containers, -0.2 speed.",HP up,1
